timestamp|paslon_01|paslon_02|c1_url|pemilih_terdaftar|jumlah_suara_sah|pengguna_hak_pilih|jumlah_suara|jumlah_suara_tdk_sah|tps|kelurahan|kecamatan|kabupaten|wilayah|b+c+i|checker o|b+c|checker q
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE BAGOK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|ALUE BAGOK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE BATEE|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE SUNDAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
4/20/2019 20:15|37|132|https://pemilu2019.kpu.go.id/img/c/900/003/900003514/1673-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003514/1673-1-C-XXX-X6.jpg|194|169|171|171|2|TPS 1|ARONGAN|ARONGAN LAMBALEK|ACEH BARAT|ACEH|171|0|169|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT BULOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|COT BULOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT JURUMUDI|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT KUMBANG|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|DRIEN RAMPAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|DRIEN RAMPAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|GUNONG PULO|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KARANG HAMPA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KEUB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KEUB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KUBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KUBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANTE MEUTIA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANTON BAHAGIA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANTON MAKMUR|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PEULANTEU LB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|PEULANTEU LB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PEURIBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|PEURIBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|PEURIBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|RIMBA LANGGEH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|RIMBA LANGGEH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SEUNEUBOK LUENG|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SEUNEUBOK TEUNGOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|SEUNEUBOK TEUNGOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SIMPANG PEUT|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|SIMPANG PEUT|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|SIMPANG PEUT|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SUAK BIDOK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SUAK IE BEUSOU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SUAK KEUMUDEE|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|TEUPIN PEURAHO|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|TEUPIN PEURAHO|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|UJONG BEUSA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|UJONG SIMPANG|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|UJONG SIMPANG|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
4/20/2019 20:15|21|221|https://pemilu2019.kpu.go.id/img/c/900/003/900003492/1656-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003492/1656-1-C-XXX-X6.jpg|274|242|250|250|8|TPS 1|ALUE BAKONG|BUBON|ACEH BARAT|ACEH|250|0|242|0
4/20/2019 20:15|23|184|https://pemilu2019.kpu.go.id/img/c/900/003/900003491/1655-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003491/1655-1-C-XXX-X6.jpg|221|207|209|209|2|TPS 1|ALUE LHOK|BUBON|ACEH BARAT|ACEH|209|0|207|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|BEURAWANG|BUBON|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|BEURAWANG|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|63|106|https://pemilu2019.kpu.go.id/img/c/900/003/900003495/1658-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003495/1658-1-C-XXX-X6.jpg|198|169|182|182|13|TPS 1|BLANG SIBEUTONG|BUBON|ACEH BARAT|ACEH|182|0|169|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|BLANG SIBEUTONG|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|43|128|https://pemilu2019.kpu.go.id/img/c/900/003/900003497/1659-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003497/1659-1-C-XXX-X6.jpg|186|171|176|176|5|TPS 1|COT KEUMUNENG|BUBON|ACEH BARAT|ACEH|176|0|171|0
4/20/2019 20:15|15|65|https://pemilu2019.kpu.go.id/img/c/900/003/900003498/1660-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003498/1660-1-C-XXX-X6.jpg|89|80|81|81|1|TPS 1|COT LADA|BUBON|ACEH BARAT|ACEH|81|0|80|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|GUNONG PANAH|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|38|208|https://pemilu2019.kpu.go.id/img/c/900/003/900003502/1663-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003502/1663-1-C-XXX-X6.jpg|288|246|253|253|7|TPS 1|KUALA PLING|BUBON|ACEH BARAT|ACEH|253|0|246|0
4/20/2019 20:15|20|216|https://pemilu2019.kpu.go.id/img/c/900/003/900003500/1662-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003500/1662-1-C-XXX-X6.jpg|271|236|224|244|8|TPS 1|KUTA PADANG|BUBON|ACEH BARAT|ACEH|244|0|236|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KUTA PADANG|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|11|134|https://pemilu2019.kpu.go.id/img/c/900/003/900003503/1664-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003503/1664-1-C-XXX-X6.jpg|162|145|151|151|6|TPS 1|LAYUNG|BUBON|ACEH BARAT|ACEH|151|0|145|0
4/20/2019 20:15|8|121|https://pemilu2019.kpu.go.id/img/c/900/003/900003504/1664-2-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003504/1664-2-C-XXX-X6.jpg|150|129|135|135|6|TPS 2|LAYUNG|BUBON|ACEH BARAT|ACEH|135|0|129|0
4/20/2019 20:15|13|133|https://pemilu2019.kpu.go.id/img/c/900/003/900003505/1665-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003505/1665-1-C-XXX-X6.jpg|168|146|147|147|1|TPS 1|LICEH|BUBON|ACEH BARAT|ACEH|147|0|146|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|LICEH|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|55|174|https://pemilu2019.kpu.go.id/img/c/900/003/900003507/1666-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003507/1666-1-C-XXX-X6.jpg|269|229|236|236|7|TPS 1|PEULANTEU SP|BUBON|ACEH BARAT|ACEH|236|0|229|0
4/20/2019 20:15|70|135|https://pemilu2019.kpu.go.id/img/c/900/003/900003508/1666-2-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003508/1666-2-C-XXX-X6.jpg|266|205|216|216|11|TPS 2|PEULANTEU SP|BUBON|ACEH BARAT|ACEH|216|0|205|0
4/20/2019 20:15|24|167|https://pemilu2019.kpu.go.id/img/c/900/003/900003509/1667-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003509/1667-1-C-XXX-X6.jpg|233|191|202|202|11|TPS 1|RAMBONG|BUBON|ACEH BARAT|ACEH|202|0|191|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SEUMULENG|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|32|111|https://pemilu2019.kpu.go.id/img/c/900/003/900003512/1670-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003512/1670-1-C-XXX-X6.jpg|157|143|147|147|4|TPS 1|SEUNEUBOK TRAP|BUBON|ACEH BARAT|ACEH|147|0|143|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|SUAK PANGKAT|BUBON|ACEH BARAT|ACEH||||
4/20/2019 20:15|47|61|https://pemilu2019.kpu.go.id/img/c/900/003/900003513/1671-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003513/1671-1-C-XXX-X6.jpg|118|108|112|112|4|TPS 1|ULEE BLANG|BUBON|ACEH BARAT|ACEH|112|0|108|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 05|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 06|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 07|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 08|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 09|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 10|BLANG BERANDANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 05|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 06|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 07|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 08|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 09|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 10|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 11|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 12|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 13|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 14|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 15|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 16|DRIEN RAMPAK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 4|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 5|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 6|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 7|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 8|GAMPA|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 4|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 5|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 6|KAMPUNG BELAKANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KAMPUNG DARAT|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
4/20/2019 20:15|32|182|https://pemilu2019.kpu.go.id/img/c/900/003/900003250/1507-2-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003250/1507-2-C-XXX-X6.jpg|239|214|220|220|6|TPS 2|KAMPUNG DARAT|JOHAN PAHLAWAN|ACEH BARAT|ACEH|220|0|214|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KAMPUNG PASIR|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 05|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 06|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 07|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 08|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 09|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 10|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 11|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 12|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 13|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 14|KUTA PADANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 05|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 06|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 07|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 08|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 09|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 10|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 11|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 12|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 13|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 14|LAPANG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 05|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 06|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 07|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 08|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 09|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 10|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 11|LEUHAN|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 4|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 5|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 6|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 7|PADANG SEURAHET|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANGGONG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|PANGGONG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|PANGGONG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 4|PANGGONG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PASAR ACEH|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
4/20/2019 20:15|25|222|https://pemilu2019.kpu.go.id/img/c/900/003/900003184/1499-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003184/1499-1-C-XXX-X6.jpg|302|247|251|251|4|TPS 1|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH|251|0|247|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 3|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 4|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 5|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 6|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 7|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 8|RUNDENG|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 01|SEUNEUBOK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 02|SEUNEUBOK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 03|SEUNEUBOK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 04|SEUNEUBOK|JOHAN PAHLAWAN|ACEH BARAT|ACEH||||
